ANAL,Ammonia and Nitrate.ANL,,,,,,,,,,,,,,,,,,,,,,
RUN ,SAMPLE_RUN,,,,,,,,,,,,,,,,,,,,,,
DATE,01/01/2023,,,,,,,,,,,,,,,,,,,,,,
TIME,0000H,,,,,,,,,,,,,,,,,,,,,,
OPER,DEON,,,,,,,,,,,,,,,,,,,,,,
COMM,SAMPLE_DATA,,,,,,,,,,,,,,,,,,,,,,
TYPE,,,,,,,,,Real,,,,,,,,Real,,,,,,
CHAN,,,,,,,,,1,,,,,,,,2,,,,,,
METH,,,,,,,,,ammonia,,,,,,,,nitrate,,,,,,
UNIT,,,,,,,,,,,,,,,,,,,,,,,
Base,,,,,,,,,-7250,,,,,,,,-12190,,,,,,
Gain,,,,,,,,,186,,,,,,,,48,,,,,,
FIT,,,,,,,,,L,,,,,,,,L,,,,,,
COEFF,,,,,,,,,1,,,,,,,,1,,,,,,
Sample ID,Peak Number,Cup Number,Cup Type,Cup Group,,,Date Time Stamp,Calibrants 1,Results 1,AD Values, mAU,Peak Start,Peak Position,Peak Class,Post Dilution,Calibrants 2,Results 2,AD Values, mAU,Peak Start,Peak Position,Peak Class,Post Dilution
Primer,1,901,PRIM,0,0,0,09/11/2023 14:30,,4.272,50638,34.29,762,808,&,1,,4.033,57017,171.35,732,780,&,1
Baseline,2,0,BASL,0,0,0,09/11/2023 14:31,,0.208,8844,0,942,976,A,1,,0.053,3117,0,912,959,A,1
Drift,3,902,DRIF,0,0,0,09/11/2023 14:34,,3.103,38617,24.43,1002,1049,B,1,,3.181,45487,134.69,972,1020,C,1
Baseline,4,0,BASL,0,0,0,09/11/2023 14:35,,0.208,8844,0,1182,1230,A,1,,0.053,3117,0,1152,1190,A,1
Cal.,5,901,CALB,0,0,0,09/11/2023 14:38,4,4.153,49419,33.29,1242,1288,C,1,4,4.016,56788,170.62,1212,1260,C,1
Cal.,6,902,CALB,0,0,0,09/11/2023 14:39,3.2,3.213,39744,25.35,1302,1348,B,1,3.2,3.241,46290,137.25,1272,1319,A,1
Cal.,7,903,CALB,0,0,0,09/11/2023 14:40,2.4,2.274,30088,17.43,1362,1407,A,1,2.4,2.375,34569,99.98,1332,1379,A,1
Cal.,8,904,CALB,0,0,0,09/11/2023 14:41,2,1.908,26324,14.34,1422,1468,A,1,2,1.973,29124,82.68,1392,1440,A,1
Cal.,9,905,CALB,0,0,0,09/11/2023 14:42,1.6,1.451,21621,10.48,1482,1527,A,1,1.6,1.558,23502,64.8,1452,1500,A,1
Cal.,10,906,CALB,0,0,0,09/11/2023 14:43,0.8,0.708,13983,4.22,1542,1583,A,1,0.8,0.776,12912,31.14,1512,1547,A,1
Cal.,11,907,CALB,0,0,0,09/11/2023 14:44,0.4,0.402,10839,1.64,1602,1641,A,1,0.4,0.381,7557,14.11,1572,1613,A,1
Cal.,12,908,CALB,0,0,0,09/11/2023 14:45,0.2,0.283,9616,0.63,1662,1693,A,1,0.2,0.228,5494,7.56,1632,1663,A,1
High,13,901,HIGH,0,1,1,09/11/2023 14:46,,4.206,49962,33.73,1722,1769,C,1,,4.004,56636,170.13,1692,1740,B,1
Low,14,904,LOW ,0,1,2,09/11/2023 14:47,,1.886,26097,14.15,1782,1827,A,1,,1.926,28482,80.63,1752,1800,C,1
Low,15,904,LOW ,0,1,3,09/11/2023 14:48,,1.904,26284,14.31,1842,1887,A,1,,1.927,28503,80.7,1812,1860,B,1
Baseline,16,0,BASL,0,0,0,09/11/2023 14:49,,0.208,8844,0,2022,2067,A,1,,0.053,3117,0,1992,2038,A,1
Drift,17,902,DRIF,0,0,0,09/11/2023 14:52,,3.103,38617,24.43,2082,2129,B,1,,3.181,45487,134.69,2052,2100,C,1
Null,18,0,NULL,0,0,0,09/11/2023 14:53,,0.125,7988,-0.7,2142,2185,B,1,,0.108,3865,2.38,2112,2155,B,1
1A,19,1,SAMP,0,0,0,09/11/2023 14:54,,0.273,9506,0.54,2202,2241,A,1,,0.477,8856,18.24,2172,2218,A,1
2A,20,2,SAMP,0,0,0,09/11/2023 14:55,,0.259,9364,0.43,2262,2305,A,1,,0.58,10254,22.69,2232,2277,A,1
3A,21,3,SAMP,0,0,0,09/11/2023 14:56,,0.249,9258,0.34,2322,2362,A,1,,0.344,7059,12.53,2292,2337,A,1
4A,22,4,SAMP,0,0,0,09/11/2023 14:57,,0.262,9393,0.45,2382,2429,A,1,,0.913,14770,37.04,2352,2400,A,1
5A,23,5,SAMP,0,0,0,09/11/2023 14:58,,0.257,9340,0.41,2442,2475,A,1,,0.443,8401,16.8,2412,2458,A,1
6A,24,6,SAMP,0,0,0,09/11/2023 14:59,,0.241,9178,0.27,2502,2549,A,1,,0.23,5513,7.62,2472,2515,A,1
Baseline,43,0,BASL,0,0,0,09/11/2023 15:18,,0.208,8844,0,3762,3795,A,1,,0.053,3117,0,3732,3779,A,1
Drift,44,902,DRIF,0,0,0,09/11/2023 15:21,,3.103,38617,24.43,3822,3869,B,1,,3.181,45487,134.69,3792,3839,C,1
Null,45,0,NULL,0,0,0,09/11/2023 15:22,,0.117,7903,-0.77,3882,3924,A,1,,0.098,3728,1.94,3852,3895,C,1
1B,46,25,SAMP,0,0,0,09/11/2023 15:23,,0.273,9507,0.54,3942,3986,A,1,,0.606,10614,23.83,3912,3956,A,1
2B,47,26,SAMP,0,0,0,09/11/2023 15:24,,0.259,9363,0.43,4002,4040,A,1,,0.666,11425,26.41,3972,4017,A,1
3B,48,27,SAMP,0,0,0,09/11/2023 15:25,,0.273,9512,0.55,4062,4107,A,1,,0.483,8943,18.52,4032,4079,A,1
4B,49,28,SAMP,0,0,0,09/11/2023 15:26,,0.265,9424,0.48,4122,4159,A,1,,1.249,19317,51.5,4092,4137,A,1
5B,50,29,SAMP,0,0,0,09/11/2023 15:27,,0.263,9406,0.46,4182,4219,A,1,,0.578,10227,22.6,4152,4196,A,1
6B,51,30,SAMP,0,0,0,09/11/2023 15:28,,0.248,9252,0.33,4242,4289,A,1,,0.45,8491,17.08,4212,4256,A,1
Baseline,70,0,BASL,0,0,0,09/11/2023 15:47,,0.208,8844,0,5502,5549,A,1,,0.053,3117,0,5472,5519,A,1
Drift,71,902,DRIF,0,0,0,09/11/2023 15:50,,3.103,38617,24.43,5562,5609,C,1,,3.181,45487,134.69,5532,5580,B,1
Null,72,0,NULL,0,0,0,09/11/2023 15:51,,0.119,7925,-0.75,5622,5664,A,1,,0.096,3703,1.86,5592,5635,C,1
T1 BLANK 1,73,49,SAMP,0,0,0,09/11/2023 15:52,,0.242,9186,0.28,5682,5713,A,1,,0.091,3639,1.66,5652,5699,A,1
T1 BLANK 2,74,50,SAMP,0,0,0,09/11/2023 15:53,,0.205,8811,-0.03,5742,5785,A,1,,0.081,3495,1.2,5712,5759,A,1
T1 BLANK 3,75,51,SAMP,0,0,0,09/11/2023 15:54,,0.224,9005,0.13,5802,5849,B,1,,0.084,3539,1.34,5772,5800,B,1
S1A,76,52,SAMP,0,0,0,09/11/2023 15:55,,0.368,10484,1.35,5862,5899,A,1,,9.955,137218,426.3,5832,5878,O,1
S2A,77,53,SAMP,0,0,0,09/11/2023 15:56,,0.4,10820,1.62,5922,5968,A,1,,10.745,147921,460.33,5892,5938,O,1
S3A,78,54,SAMP,0,0,0,09/11/2023 15:57,,0.42,11021,1.79,5982,6026,A,1,,8.305,114873,355.27,5952,5998,O,1
S1B,85,61,SAMP,0,0,0,09/11/2023 16:04,,0.444,11270,1.99,6402,6449,A,1,,10.398,143229,445.41,6372,6418,O,1
S2B,86,62,SAMP,0,0,0,09/11/2023 16:05,,0.45,11332,2.04,6462,6505,A,1,,11.19,153946,479.48,6432,6477,O,1
S3B,87,63,SAMP,0,0,0,09/11/2023 16:06,,0.453,11358,2.06,6522,6566,A,1,,8.382,115918,358.59,6492,6537,O,1
Baseline,94,0,BASL,0,0,0,09/11/2023 16:13,,0.208,8844,0,7062,7087,A,1,,0.053,3117,0,7032,7079,A,1
Drift,95,902,DRIF,0,0,0,09/11/2023 16:16,,3.103,38617,24.43,7122,7168,B,1,,3.181,45487,134.69,7092,7139,B,1
Null,96,0,NULL,0,0,0,09/11/2023 16:17,,0.126,7999,-0.69,7182,7225,A,1,,0.115,3963,2.69,7152,7194,B,1
CONTROL BLANK 1,97,70,SAMP,0,0,0,09/11/2023 16:18,,0.336,10156,1.08,7242,7282,A,1,,0.037,2907,-0.67,7212,7256,A,1
CONTROL BLANK 2,98,71,SAMP,0,0,0,09/11/2023 16:19,,0.332,10114,1.04,7302,7344,A,1,,0.049,3071,-0.15,7272,7319,A,1
CONTROL BLANK 3,99,72,SAMP,0,0,0,09/11/2023 16:20,,0.345,10251,1.15,7362,7403,A,1,,0.021,2692,-1.35,7332,7375,A,1
SPARE,102,0,SAMP,0,0,0,09/11/2023 16:23,,-0.124,5421,-2.81,7542,7585,D,1,,0.237,5615,7.94,7512,7555,D,1
Baseline,103,0,BASL,0,0,0,09/11/2023 16:24,,0.208,8844,0,7722,7747,A,1,,0.053,3117,0,7692,7720,A,1
Drift,104,902,DRIF,0,0,0,09/11/2023 16:27,,3.103,38617,24.43,7782,7828,B,1,,3.181,45487,134.69,7752,7799,D,1
Null,105,0,NULL,0,0,0,09/11/2023 16:28,,0.15,8244,-0.49,7842,7884,A,1,,0.115,3958,2.67,7812,7855,C,1
End,106,0,END ,0,0,0,09/11/2023 16:29,,0.208,8844,0,7929,7935, ,1,,0.053,3117,0,7929,7935, ,1
